Date,Open*,High,Low,Close,Volume,Market Cap
24-May-21,"$34,700.36 ","$39,835.14 ","$34,551.08 ","$38,705.98 ","$67,359,584,098 ","$724,332,072,424 "
25-May-21,"$38,795.78 ","$39,776.35 ","$36,581.43 ","$38,402.22 ","$56,211,915,803 ","$718,829,377,408 "
26-May-21,"$38,392.62 ","$40,782.08 ","$37,905.83 ","$39,294.20 ","$51,346,735,160 ","$735,556,411,166 "
27-May-21,"$39,316.89 ","$40,379.62 ","$37,247.90 ","$38,436.97 ","$43,210,968,721 ","$719,538,129,128 "
28-May-21,"$38,507.08 ","$38,856.97 ","$34,779.04 ","$35,697.61 ","$55,200,191,952 ","$668,283,930,067 "
29-May-21,"$35,684.16 ","$37,234.50 ","$33,693.93 ","$34,616.07 ","$45,231,013,335 ","$648,061,013,208 "
30-May-21,"$34,607.41 ","$36,400.67 ","$33,520.74 ","$35,678.13 ","$31,646,080,921 ","$667,976,638,398 "
31-May-21,"$35,658.59 ","$37,468.25 ","$34,241.94 ","$37,332.85 ","$39,009,847,639 ","$698,990,486,185 "
01-Jun-21,"$37,293.79 ","$37,896.74 ","$35,787.09 ","$36,684.92 ","$34,639,423,297 ","$686,891,021,225 "
02-Jun-21,"$36,699.92 ","$38,231.34 ","$35,966.31 ","$37,575.18 ","$33,070,867,190 ","$703,599,671,425 "
03-Jun-21,"$37,599.41 ","$39,478.95 ","$37,243.97 ","$39,208.77 ","$35,460,750,427 ","$734,224,332,239 "
04-Jun-21,"$39,242.49 ","$39,242.49 ","$35,717.72 ","$36,894.41 ","$41,831,090,187 ","$690,915,072,093 "
05-Jun-21,"$36,880.16 ","$37,917.71 ","$34,900.41 ","$35,551.96 ","$35,959,473,399 ","$665,804,639,833 "
06-Jun-21,"$35,538.61 ","$36,436.42 ","$35,304.58 ","$35,862.38 ","$28,913,440,585 ","$671,652,557,855 "
07-Jun-21,"$35,835.27 ","$36,790.57 ","$33,480.64 ","$33,560.71 ","$33,683,936,663 ","$628,572,961,759 "
08-Jun-21,"$33,589.52 ","$34,017.39 ","$31,114.44 ","$33,472.63 ","$49,902,050,442 ","$626,954,944,879 "
09-Jun-21,"$33,416.98 ","$37,537.37 ","$32,475.87 ","$37,345.12 ","$53,972,919,008 ","$699,516,138,698 "
10-Jun-21,"$37,389.52 ","$38,334.33 ","$35,847.59 ","$36,702.60 ","$43,576,032,854 ","$687,509,421,226 "
11-Jun-21,"$36,697.03 ","$37,608.69 ","$36,044.45 ","$37,334.40 ","$38,699,736,985 ","$699,368,729,838 "
12-Jun-21,"$37,340.14 ","$37,408.93 ","$34,728.19 ","$35,552.52 ","$37,924,228,550 ","$666,018,173,753 "
13-Jun-21,"$35,555.79 ","$39,322.78 ","$34,864.11 ","$39,097.86 ","$40,669,112,838 ","$732,465,659,892 "
